ma_sp,ten_san_pham,thuong_hieu,loai,gia_shopee,gia_tiktok,tinh_trang,ban_tren_san,ghi_chu
NNNC7637188,Outpow,Panasonic,Ốp trần nổi,334.000đ,349.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Màu: Ánh Sáng Trắng
FDL72300V0-EX/DL,Đèn LED ốp trần 15W-ánh sáng trắng 6500K FDL72300V0-EX/DL,Megaman,Ốp trần nổi,185.000đ,192.000đ,Có sẵn,Có,Màu: Ánh Sáng Trắng
MXL1115-18W/DL 6500K,Đèn Led ốp trần 18W 6500K MXL1115-18W/DL,Megaman,Ốp trần nổi,231.000đ,241.000đ,Có sẵn,Có,Màu: Ánh Sáng Trắng
MXTL1033-Y18W/DL,Đèn Led lắp nổi -18W 6500K MXTL1033-Y18W/DL,Megaman,Ốp trần nổi,222.000đ,232.000đ,Có sẵn,Có,Màu: Ánh Sáng Trắng
NNV70061WE1A,LED DOWNLIGHT DN 2G 9W 65K NNV70061WE1A,Panasonic,Đèn âm trần,155.000đ,161.000đ,Có sẵn,Có,Màu: Ánh sáng trắng
NNV70041WE1A,LED DOWNLIGHT DN 2G 9W 40K NNV70041WE1A,Panasonic,Đèn âm trần,155.000đ,161.000đ,Có sẵn,Có,Màu: Ánh sáng trung tính
NNV70062WE1A,LED DOWNLIGHT DN 2G 12W 65K NNV70062WE1A,Panasonic,Đèn âm trần,221.000đ,230.000đ,"Đặt trước (kho tạm hết, nhập theo yêu cầu)",Có,Màu: Ánh sáng trắng
NNV70950WE1A,ĐÈN DOWNLIGHT DN 2G ĐỔI MÀU 9W NNV70950WE1A,Panasonic,Đèn âm trần,180.000đ,187.000đ,Có sẵn,Có,Đổi Màu; Màu: Đổi màu ( 3 màu ánh sáng: trắng/ trung tính/ vàng đậm)
DN027B LED6/NW 7W D100 G2,Đèn Downlight DN027B LED6/NW 7W D100 G2,Philips,Đèn âm trần,109.000đ,113.000đ,Có sẵn,Có,Màu: Ánh sáng trung tính
59447 D90 5W 65K,Đèn Downlight 59447 MESON D90 5W 65K,Philips,Đèn âm trần,93.000đ,96.000đ,Có sẵn,Có,Màu: Ánh sáng trắng
